time_h,PV_kw,gp_mean,gp_std,gp_lower,gp_upper
0.0,2.556070667173803,2.1906666646650934,1.0243905674066214,0.14188552985185066,4.239447799478336
0.25,1.7817100429331463,2.8158587399529362,1.0243905674066214,0.7670776051396935,4.864639874766179
0.5,0.7504511958064572,-0.004535470901250993,1.0243905674066214,-2.053316605714494,2.0442456639119917
0.75,0.9405647163912139,0.3274357931888421,1.0243905674066214,-1.7213453416244007,2.376216928002085
1.0,-1.5675139791519803,0.35713700746677146,1.0243905674066214,-1.6916441273464713,2.405918142280014
1.25,-1.302179506862318,-0.11836812401358034,1.0243905674066214,-2.1671492588268233,1.9304130107996624
1.5,0.12784040316728537,-0.08428459004948606,1.0243905674066214,-2.1330657248627287,1.9644965447637568
1.75,-0.3162425923435822,0.06511101470919814,1.0243905674066214,-1.9836701201040445,2.113892149522441
2.0,2.6213927670841968,2.4607431232714894,1.0243905674066214,0.4119619884582466,4.509524258084732
2.25,1.4803318787132649,2.4898536126901174,1.0243905674066214,0.44107247787687465,4.538634747503361
2.5,1.0774900675464767,0.047622993816230974,1.0243905674066214,-2.0011581409970116,2.096404128629474
2.75,4.159515556333047,3.2007333556876105,1.0243905674066214,1.1519522208743678,5.249514490500854
3.0,1.468558724317353,1.4626011112630832,1.0243905674066214,-0.5861800235501595,3.5113822460763258
3.25,1.1272412069680329,-0.1165701719505176,1.0243905674066214,-2.1653513067637604,1.932210962862725
3.5,1.5737616944995418,1.4805084949541418,1.0243905674066214,-0.5682726398591009,3.5292896297673844
3.75,-0.8592924628832382,0.022356126489565857,1.0243905674066214,-2.026425008323677,2.0711372613028085
4.0,3.0041016880043165,2.658693556889717,1.0243905674066214,0.6099124220764742,4.707474691702959
4.25,-0.9588826008289989,-0.24913553309097003,1.0243905674066214,-2.2979166679042127,1.7996456017222728
4.5,0.8784503013072725,-0.21144481935532822,1.0243905674066214,-2.260225954168571,1.8373363154579145
4.75,1.7191772382255157,1.518982916058408,1.0243905674066214,-0.5297982187548347,3.567764050871651
5.0,14.429558086670884,14.493886389853733,1.0243905674066214,12.44510525504049,16.542667524666975
5.25,16.90228536195037,17.671496271636197,1.0243905674066214,15.622715136822954,19.72027740644944
5.5,25.02677583940494,23.766217952399924,1.0243905674066214,21.71743681758668,25.814999087213167
5.75,30.839659886135944,30.681084579266308,1.0243905674066214,28.632303444453065,32.72986571407955
6.0,40.07507154482691,40.25323316005342,1.0243905674066214,38.20445202524018,42.30201429486666
6.25,46.375339637684206,46.76057975138827,1.0243905674066214,44.71179861657503,48.80936088620151
6.5,53.96782219936791,53.31744140931416,1.0243905674066214,51.268660274500924,55.3662225441274
