time_h,PV_kw
0.0,2.556070667173803
0.25,1.7817100429331463
0.5,0.7504511958064572
0.75,0.9405647163912139
1.0,-1.5675139791519803
1.25,-1.302179506862318
1.5,0.12784040316728537
1.75,-0.3162425923435822
2.0,2.6213927670841968
2.25,1.4803318787132649
2.5,1.0774900675464767
2.75,4.159515556333047
3.0,1.468558724317353
3.25,1.1272412069680329
3.5,1.5737616944995418
3.75,-0.8592924628832382
4.0,3.0041016880043165
4.25,-0.9588826008289989
4.5,0.8784503013072725
4.75,1.7191772382255157
5.0,14.429558086670884
5.25,16.90228536195037
5.5,25.02677583940494
5.75,30.839659886135944
6.0,40.07507154482691
6.25,46.375339637684206
6.5,53.96782219936791
6.75,60.23380874898558
7.0,71.57351802841774
7.25,69.8557060998963
7.5,76.87099433730206
7.75,78.71817573346
8.0,87.84348260453064
8.25,93.63036187348848
8.5,95.45703823035409
8.75,97.46739116087197
9.0,99.4795079577137
9.25,105.91019276568339
9.5,108.46263553576136
9.75,111.13980735822295
10.0,108.98234231628896
10.25,112.46693797797744
10.5,111.57207937433947
10.75,113.16433707265628
11.0,115.18655523334077
11.25,113.3757877059524
11.5,115.32956552130149
11.75,112.72833411659929
12.0,113.69991239020047
12.25,113.94527381772954
12.5,107.69906911133015
12.75,111.18993386920103
13.0,108.28064864034853
13.25,108.38437040971715
13.5,108.57650909401836
13.75,112.68818322846798
14.0,104.60010580403863
14.25,110.11385941819324
14.5,97.61311826335628
14.75,100.85093794608217
15.0,96.58630066873452
15.25,95.63254953467465
15.5,92.4791570423975
15.75,88.69028147642477
16.0,80.52602093578884
16.25,75.03296268433036
16.5,72.28207089480829
16.75,63.15194244707981
17.0,55.087811948098285
17.25,48.106630786559556
17.5,41.109876545950435
17.75,38.78441271830159
18.0,31.08145471869059
18.25,27.181888248710315
18.5,16.431372371841036
18.75,11.636334652880397
19.0,4.784682281636943
19.25,0.15853969107671423
19.5,1.9959161066395872
19.75,-0.3093465397202384
20.0,0.45677523755741145
20.25,-0.6619259410666513
20.5,-0.3630538465650718
20.75,1.0791795483584325
21.0,-1.1958396455890397
21.25,0.5244548369686602
21.5,0.9728376365150193
21.75,1.3520876468175358
22.0,2.476901985824284
22.25,0.4465311760299441
22.5,0.6653851089727862
22.75,-0.09848548450942361
23.0,-0.42329831204415375
23.25,-0.07971821090639905
23.5,-1.6873344339580298
23.75,-1.4471124724230873
24.0,0.9286539750649694
24.25,1.8244473215721602
24.5,0.3997742267234366
24.75,-0.9054790553600608
25.0,0.0053586554624663885
25.25,1.2992282977860654
25.5,-0.35626397106142593
25.75,0.7375155684670865
26.0,1.7045762445786086
26.25,2.127938248419215
26.5,-0.7519299622269331
26.75,3.0426905450035364
27.0,2.242836164213532
27.25,-1.7273204231923487
27.5,1.5406759957933536
27.75,0.2377356023322779
28.0,2.0412009482250233
28.25,-1.4460578543884546
28.5,0.07212950771386951
28.75,1.2396104401479662
29.0,14.847096661570848
29.25,17.605067051877754
29.5,25.406013392051825
29.75,30.754833740731723
30.0,39.47990187436815
30.25,46.90674882312876
30.5,53.65550969778632
30.75,61.22755225986194
31.0,71.99589666273633
31.25,69.78175615603793
31.5,76.19264962765116
31.75,77.93582769552177
32.0,87.71597380085242
32.25,93.51755866033083
32.5,94.45124900462282
32.75,94.96173272059477
33.0,100.22860636218297
33.25,106.52812654554715
33.5,107.81631045694995
33.75,109.4736354891907
34.0,108.55260199253571
34.25,112.76191027756661
34.5,114.23431997331994
34.75,115.84603821559689
35.0,115.48427885747603
35.25,112.16756098919153
35.5,112.32609046262198
35.75,112.77245003016844
36.0,112.20805773181824
36.25,113.46233748806097
36.5,106.79785291358034
36.75,110.4178547569461
37.0,110.80378469099185
37.25,108.8610901935198
37.5,108.88824691127247
37.75,112.29140732388551
38.0,103.20056511056096
38.25,108.13261019788551
38.5,98.4251668282312
38.75,101.65058950507057
39.0,98.3994449618232
39.25,96.95017407568348
39.5,91.81710837875335
39.75,86.91911537864847
40.0,78.84967759376362
40.25,73.51438938459468
40.5,74.75926569949189
40.75,62.79290756051999
41.0,55.068325270577475
41.25,47.395007933354144
41.5,43.3171358821626
41.75,40.30265089841093
42.0,31.844269107034112
42.25,26.643964978521115
42.5,15.63415894034108
42.75,11.391921500294709
43.0,4.756951447632697
43.25,-1.2256057637672482
43.5,0.09238813835263127
43.75,0.17258791772211948
44.0,1.579091256410435
44.25,0.15999161357343825
44.5,-0.11863832610988256
44.75,1.7467435819593047
45.0,1.3060017417068248
45.25,0.2568648575469347
45.5,1.031312745884006
45.75,2.4458822381497374
46.0,2.4249117653799885
46.25,1.535755991995992
46.5,0.18323443722190613
46.75,-1.2244690317205003
47.0,-1.368159199245665
47.25,1.6509279322312496
47.5,1.723665720783297
47.75,-0.17951921328260065
48.0,1.868166266283384
48.25,4.2831384414158435
48.5,-1.107045682043488
48.75,-0.8947270189558264
49.0,1.0268480041909005
49.25,-0.3946051228595896
49.5,-0.005121866720071296
49.75,-0.16344289852451258
50.0,2.975768473387419
50.25,3.7408576676005616
50.5,0.28867699958539367
50.75,4.025662414180957
51.0,-0.6476440742748857
51.25,-0.04871840193011795
51.5,0.2630220819546252
51.75,-1.218813060423628
52.0,1.757198536993067
52.25,-0.33412344070081207
