time_h,PV_kw,gp_mean,gp_std,gp_lower,gp_upper
0.0,2.556070667173803,2.045382602844711,1.6250144150940014,-1.2046462273432916,5.295411433032713
0.25,1.7817100429331463,2.1660587860392297,1.6250144150939312,-1.0839700441486326,5.416087616227092
0.5,0.7504511958064572,0.8258881124243089,1.6250144150946308,-2.4241407177649528,4.075916942613571
0.75,0.9405647163912139,-0.06618255794387551,1.625014415094491,-3.3162113881328574,3.1838462722451064
1.0,-1.5675139791519803,-0.18573562400047194,1.6250144150946308,-3.4357644541897336,3.0642932061887898
1.25,-1.302179506862318,-0.6370543203984198,1.625014415094561,-3.8870831505875416,2.612974509790702
1.5,0.12784040316728537,-0.8063663240359347,1.6250144150947707,-4.056395154225476,2.443662506153607
1.75,-0.3162425923435822,0.5449301924604697,1.6250144150942112,-2.7050986377279527,3.794959022648892
2.0,2.6213927670841968,2.129884059240794,1.6250144150942811,-1.120144770947768,5.379912889429356
2.25,1.4803318787132649,2.1450929451448246,1.6250144150939312,-1.1049358850430377,5.3951217753326866
2.5,1.0774900675464767,1.6230473363702913,1.6250144150942112,-1.626981493818131,4.873076166558714
2.75,4.159515556333047,2.027222710938986,1.625014415094351,-1.2228061192497162,5.277251541127688
3.0,1.468558724317353,2.082923128746188,1.625014415094491,-1.167105701442794,5.33295195893517
3.25,1.1272412069680329,0.655025049449705,1.625014415094351,-2.595003780738997,3.905053879638407
3.5,1.5737616944995418,-0.20564025155181298,1.6250144150942811,-3.4556690817403752,3.0443885786367493
3.75,-0.8592924628832382,1.0357516480980848,1.6250144150938612,-2.2142771820896376,4.285780478285807
4.0,3.0041016880043165,1.7131068124108424,1.6250144150941412,-1.53692201777744,4.963135642599125
4.25,-0.9588826008289989,-0.35441557060403284,1.6250144150947707,-3.6044444007935743,2.8956132595855086
4.5,0.8784503013072725,-1.314008785861006,1.625014415094491,-4.564037616049988,1.936020044327976
4.75,1.7191772382255157,3.704850000409351,1.6250144150942811,0.45482117022078894,6.954878830597913
5.0,14.429558086670884,12.442692155666009,1.6250144150946308,9.192663325476747,15.69272098585527
5.25,16.90228536195037,19.171937652245106,1.6250144150940713,15.921908822056963,22.42196648243325
5.5,25.02677583940494,23.98968881321707,1.6250144150940713,20.73965998302893,27.239717643405214
5.75,30.839659886135944,30.93743019756039,1.6250144150942811,27.687401367371827,34.18745902774895
6.0,40.07507154482691,39.66682954499447,1.6250144150942112,36.41680071480605,42.91685837518289
6.25,46.375339637684206,46.9011006590481,1.625014415094351,43.65107182885939,50.1511294892368
6.5,53.96782219936791,53.31391186080327,1.625014415094351,50.06388303061457,56.56394069099198
6.75,60.23380874898558,61.26470360842359,1.625014415094421,58.01467477823475,64.51473243861243
7.0,71.57351802841774,68.59630674615619,1.625014415094351,65.34627791596749,71.84633557634488
7.25,69.8557060998963,71.96787396157924,1.6250144150940014,68.71784513139124,75.21790279176724
7.5,76.87099433730206,73.82377612178425,1.6250144150940713,70.5737472915961,77.07380495197239
7.75,78.71817573346,79.33472748737768,1.625014415094351,76.08469865718898,82.58475631756637
8.0,87.84348260453064,88.0273756383499,1.6250144150939312,84.77734680816204,91.27740446853775
8.25,93.63036187348848,94.28549183919563,1.6250144150940014,91.03546300900763,97.53552066938363
8.5,95.45703823035409,95.75507629808453,1.6250144150938612,92.50504746789682,99.00510512827225
8.75,97.46739116087197,96.41919346233135,1.6250144150939312,93.16916463214349,99.66922229251921
9.0,99.4795079577137,100.31842744028745,1.6250144150942112,97.06839861009902,103.56845627047588
9.25,105.91019276568339,105.91587540290675,1.625014415094351,102.66584657271805,109.16590423309545
