time_h,load_kw
0.0,35.5003840153233
0.25,34.65572640027793
0.5,35.77834005200574
0.75,35.23983289796306
1.0,33.0263584317399
1.25,33.04693821003857
1.5,35.97310231408708
1.75,37.32691311204672
2.0,35.25085092984777
2.25,34.31701134276455
2.5,37.605841801374595
2.75,37.389997584734786
3.0,36.39964657111384
3.25,36.125739651106045
3.5,36.71945370254209
3.75,36.403194249963654
4.0,34.93300496422394
4.25,34.81992681363599
4.5,34.74392414632567
4.75,34.6483779789772
5.0,33.780471163735314
5.25,34.06701234689221
5.5,37.036311931853135
5.75,40.16208955858927
6.0,42.170056649152826
6.25,44.21455405140119
6.5,44.4007203910298
6.75,49.29991631018644
7.0,52.41502967130137
7.25,55.056580010488425
7.5,56.969447719469606
7.75,58.23257004672597
8.0,59.85803518187525
8.25,82.31083866759893
8.5,86.20261904997618
8.75,84.18368249001148
9.0,83.96966609538592
9.25,84.49113635511294
9.5,82.5991087624728
9.75,84.81587643024525
10.0,85.37992550921639
10.25,85.36904691329644
10.5,82.77707034005657
10.75,85.86351179880086
11.0,88.02320351537583
11.25,84.90443693442968
11.5,89.5634620583402
11.75,88.80720074142077
12.0,89.20593798443792
12.25,93.14619062773491
12.5,92.7350496990781
12.75,91.44433026280846
13.0,91.9773707173967
13.25,94.5752069645171
13.5,94.01441641007358
13.75,95.41858313127682
14.0,94.94650715924973
14.25,97.61662603462088
14.5,95.95613146127222
14.75,94.39090185512087
15.0,92.14304343584897
15.25,91.6570844263591
15.5,91.88292664006512
15.75,89.4103892931413
16.0,89.19014900108462
16.25,66.14341190907359
16.5,63.37730804849851
16.75,60.5901493229742
17.0,55.70721674729365
17.25,52.588223742201095
17.5,50.77821281429138
17.75,44.84718861702287
18.0,44.681287555829435
18.25,44.258589793173435
18.5,43.474099000984886
18.75,41.09026965258492
19.0,36.49851830405415
19.25,38.71469565080402
19.5,39.322382916447864
19.75,40.77449794379928
20.0,38.9602609771568
20.25,38.05885572762773
20.5,39.300545228432
20.75,38.721579947234844
21.0,37.88645292537658
21.25,38.4287518412417
21.5,39.04138066054669
21.75,39.04051043652796
22.0,41.76380466484974
22.25,41.14363456411072
22.5,40.558344093367204
22.75,40.8262587683753
23.0,39.25585210216107
23.25,36.21126144088028
23.5,33.292086168328325
23.75,34.42520128088462
24.0,33.87296732321446
24.25,34.698463678916944
24.5,35.42766308292272
24.75,33.393789126211786
25.0,34.59923106635434
25.25,35.64834601468695
25.5,35.48899793985837
25.75,38.38067127285739
26.0,34.33403440734219
26.25,34.9646177124705
26.5,35.776421771601186
26.75,36.273172573405276
27.0,37.17392401101002
27.25,33.27117802094567
27.5,36.6863680038359
27.75,37.50022231517917
28.0,33.97010422444465
28.25,34.33275156007653
28.5,33.93760335273226
